67,59,1,Championship,Kentucky,Kansas
64,62,0,Final Four,Kansas,Ohio St.
69,61,3,Final Four,Kentucky,Louisville
67,80,1,Elite Eight,North Carolina,Kansas
82,70,2,Elite Eight,Kentucky,Baylor
70,77,1,Elite Eight,Syracuse,Ohio St.
72,68,3,Elite Eight,Louisville,Florida
102,90,3,Sweet Sixteen,Kentucky ,Indiana
75,70,7,Sweet Sixteen,Baylor,Xavier
60,57,9,Sweet Sixteen,Kansas,North Carolina St.
73,65,12,Sweet Sixteen,North Carolina,Ohio
58,68,4,Sweet Sixteen,Marquette,Florida
44,57,3,Sweet Sixteen,Michigan St.,Louisville
64,63,3,Sweet Sixteen,Syracuse,Wisconsin
81,66,4,Sweet Sixteen,Ohio St.,Cincinnati
56,62,3,Second Round,Florida St.,Cincinnati
63,60,8,Second Round,Kansas,Purdue
84,50,8,Second Round,Florida,Norfolk St.
70,58,5,Second Round,Xavier,Lehigh
87,73,7,Second Round,North Carolina,Creighton
65,61,8,Second Round,Michigan St.,Saint Louis
63,66,8,Second Round,Georgetown,North Carolina St.
56,62,1,Second Round,South Fla.,Ohio
60,57,1,Second Round,Wisconsin,Vanderbilt
75,59,7,Second Round,Syracuse,Kansas St.
59,56,1,Second Round,Louisville,New Mexico
63,61,8,Second Round,Indiana,VCU
87,71,7,Second Round,Kentucky,Iowa St.
62,53,3,Second Round,Marquette,Murray St.
80,63,8,Second Round,Baylor,Colorado
73,66,5,Second Round,Ohio St.,Gonzaga
65,50,13,First Round,Kansas,Detroit
70,75,13,First Round,Duke,Lehigh
77,58,15,First Round,North Carolina,Vermont
89,67,15,First Round,Michigan St.,LIU Brooklyn
54,61,1,First Round,Memphis,Saint Louis
74,59,11,First Round,Georgetown,Belmont
65,79,5,First Round,San Diego St.,North Carolina St.
44,58,7,First Round,Temple,South Fla.
69,72,3,First Round,St. Mary's (CA),Purdue
84,86,13,First Round,Missouri,Norfolk St.
60,65,9,First Round,Michigan,Ohio
71,45,3,First Round,Florida,Virginia
58,57,1,First Round,Creighton,Alabama
66,63,9,First Round,Florida St.,St. Bonaventure
65,59,5,First Round,Cincinnati,Texas
66,79,9,First Round,New Mexico St.,Indiana
62,59,7,First Round,VCU,Wichita St.
75,68,7,First Round,New Mexico,Long Beach St.
69,62,9,First Round,Louisville,Davidson
73,49,9,First Round,Wisconsin,Montana
68,60,11,First Round,Baylor,South Dakota St.
72,65,15,First Round,Syracuse,UNC Asheville
78,59,13,First Round,Ohio St.,Loyola Maryland
77,54,3,First Round,Gonzaga,West Virginia
70,64,1,First Round,Kansas St.,Southern Miss.
77,64,1,First Round,Iowa St.,Connecticut
81,66,15,First Round,Kentucky,Western Ky.
88,68,11,First Round,Marquette,BYU
58,41,5,First Round,Murray St.,Colorado St.
79,70,7,First Round,Vanderbilt,Harvard
64,68,5,First Round,UNLV,Colorado
63,67,3,First Round,Notre Dame,Xavier
