53,41,5,Championship,Connecticut,Butler
56,55,1,Final Four,Connecticut,Kentucky
70,62,3,Final Four,Butler,VCU
69,76,2,Elite Eight,North Carolina,Kentucky
61,71,10,Elite Eight,Kansas,VCU
71,74,6,Elite Eight,Florida,Butler
65,63,2,Elite Eight,Connecticut,Arizona
60,62,3,Sweet Sixteen,Ohio St.,Kentucky
81,63,9,Sweet Sixteen,North Carolina,Marquette
71,72,1,Sweet Sixteen,Florida State,VCU
77,57,11,Sweet Sixteen,Kansas,Richmond
54,61,4,Sweet Sixteen,Wisconsin,Butler
83,74,1,Sweet Sixteen,Florida,BYU
77,93,4,Sweet Sixteen,Duke,Arizona
67,74,1,Sweet Sixteen,San Diego St.,Connecticut
86,83,5,Second Round,North Carolina,Washington
73,71,7,Second Round,Duke,Michigan
62,66,8,Second Round,Syracuse,Marquette
98,66,7,Second Round,Ohio St.,George Mason
73,59,8,Second Round,Kansas,Illinois
57,71,8,Second Round,Notre Dame,Florida State
76,94,8,Second Round,Purdue,VCU
69,70,1,Second Round,Texas,Arizona
71,64,5,Second Round,San Diego St.,Temple
69,58,3,Second Round,Connecticut,Cincinnati
70,71,7,Second Round,Pittsburgh,Butler
71,63,1,Second Round,Kentucky,West Virginia
70,65,1,Second Round,Wisconsin,Kansas St.
73,65,5,Second Round,Florida,UCLA
89,67,8,Second Round,BYU,Gonzaga
65,48,1,Second Round,Richmond,Morehead St.
85,81,9,First Round,Texas,Oakland
68,65,3,First Round,Washington,Georgia
2,87,13,First Round,North Carolina 1,Long Island
87,45,15,First Round,Duke,Hampton
75,45,1,First Round,Michigan,Tennessee
77,60,11,First Round,Syracuse,Indiana St.
55,66,5,First Round,Xavier,Marquette
75,46,15,First Round,Ohio St.,UTSA
61,57,1,First Round,George Mason,Villanova
72,53,15,First Round,Kansas,Boston U.
73,62,1,First Round,Illinois,UNLV
65,43,11,First Round,Purdue,Saint Peter's
50,57,3,First Round,Texas A&M,Florida State
69,56,13,First Round,Notre Dame,Akron
77,75,7,First Round,Arizona,Memphis
78,63,5,First Round,Cincinnati,Missouri
71,86,5,First Round,St. John's (NY),Gonzaga
74,66,11,First Round,BYU,Wofford
66,69,7,First Round,Vanderbilt,Richmond
61,62,9,First Round,Louisville,Morehead St.
56,74,5,First Round,Georgetown,VCU
81,52,11,First Round,Connecticut,Bucknell
74,51,15,First Round,Pittsburgh,UNC Asheville
73,68,7,First Round,Kansas St.,Utah St.
66,64,3,First Round,Temple,Penn St.
68,50,13,First Round,San Diego St.,Northern Colo.
78,76,3,First Round,UCLA,Michigan St.
59,57,11,First Round,Kentucky,Princeton
79,51,13,First Round,Florida,UC Santa Barbara
72,58,11,First Round,Wisconsin,Belmont
60,58,1,First Round,Butler,Old Dominion
84,76,7,First Round,West Virginia,Clemson
